,client_id,loan_id,state,arrears_days,total_paid,Monto Acumulado,Uso de los recursos,Plazo,Sector,Ingresos,Ubicación,Estrato Mínimo,Procesos judiciales,Alertas,Score Bureau Empresa,Huellas de Consulta,Tiempo en el negocio,Website empresa,Instagram empresa,LinkedIn empresa,LinkedIn empresarios,Edad empresarios,Activador,Número de accionistas,Impacto,Acceso previso a la banca,# Empleados,Mujeres empresarias,Mujeres en cargos directivos,cluster
15,461,703,PAID,2,55041196.0,700000000,KT - CO,Menos de 12 meses,Comercio,Venture,Bogotá D.C.,4,No,No,933.0,10.0,2016,No,No,No,No,32,Newspapers,3.0,No,Si,8,Si,1,1
16,461,1252,PAID,4,63816316.0,700000000,KT - CO,Menos de 12 meses,Comercio,Venture,Bogotá D.C.,4,No,No,933.0,10.0,2016,No,No,No,No,32,Newspapers,3.0,No,Si,8,Si,1,1
17,461,1510,PAID,4,68557372.0,700000000,KT - CO,Menos de 12 meses,Comercio,Venture,Bogotá D.C.,4,No,No,933.0,10.0,2016,No,No,No,No,32,Newspapers,3.0,No,Si,8,Si,1,1
18,472,123,PAID,0,109740029.0,610000000,KT - CO,Menos de 12 meses,Servicios,Venture,Sabaneta,5,No,Si,891.0,14.0,2011,No,No,No,Si,32,CreditProfessionalContact,1.0,No,Si,4,No,1,0
19,472,700,PAID_LATE,19,75420306.0,610000000,KT - CO,Menos de 12 meses,Servicios,Venture,Sabaneta,5,No,Si,891.0,14.0,2011,No,No,No,Si,32,CreditProfessionalContact,1.0,No,Si,4,No,1,0
20,472,1149,PAID_LATE,17,16304899.0,610000000,KT - CO,Menos de 12 meses,Servicios,Venture,Sabaneta,5,No,Si,891.0,14.0,2011,No,No,No,Si,32,CreditProfessionalContact,1.0,No,Si,4,No,1,0
21,472,1308,PAID_LATE,11,49378916.0,610000000,KT - CO,Menos de 12 meses,Servicios,Venture,Sabaneta,5,No,Si,891.0,14.0,2011,No,No,No,Si,32,CreditProfessionalContact,1.0,No,Si,4,No,1,0
22,472,1322,PAID,4,49228148.0,610000000,KT - CO,Menos de 12 meses,Servicios,Venture,Sabaneta,5,No,Si,891.0,14.0,2011,No,No,No,Si,32,CreditProfessionalContact,1.0,No,Si,4,No,1,0
23,473,716,PAID,1,26031488.0,220000000,KT - EX,Menos de 12 meses,Servicios,Venture,Medellín,4,No,No,931.0,2.0,2015,Si,No,No,No,42,FriendOrColleague,3.0,No,Si,185,No,0,1
24,473,1152,PAID,1,54693470.0,220000000,KT - EX,Menos de 12 meses,Servicios,Venture,Medellín,4,No,No,931.0,2.0,2015,Si,No,No,No,42,FriendOrColleague,3.0,No,Si,185,No,0,0
25,498,644,PAID,2,17747694.0,135000000,KT - EX,Menos de 12 meses,Servicios,Venture,Medellín,5,No,No,883.0,1.0,2016,Si,Si,Si,No,37,CreditProfessionalContact,1.0,No,No,4,No,0,1
26,498,1105,PAID,11,36806539.0,135000000,KT - EX,Menos de 12 meses,Servicios,Venture,Medellín,5,No,No,883.0,1.0,2016,Si,Si,Si,No,37,CreditProfessionalContact,1.0,No,No,4,No,0,1
27,504,976,LATE,189,25368907.0,100000000,KT - EX,13 a 24 meses,Servicios,Venture,Bogotá D.C.,5,No,No,901.0,4.0,2012,Si,No,No,No,35,Internet,3.0,No,Si,22,No,1,1
28,504,1144,PAID_LATE,41,14972404.0,100000000,KT - EX,13 a 24 meses,Servicios,Venture,Bogotá D.C.,5,No,No,901.0,4.0,2012,Si,No,No,No,35,Internet,3.0,No,Si,22,No,1,1
29,505,982,PAID_LATE,59,36566538.0,200000000,KT - EX,25 a 36 meses,Industria,Venture,Medellín,4,Si,No,882.0,3.0,1999,Si,Si,Si,Si,48,Internet,2.0,No,Si,16,No,1,0
30,505,1444,LATE,217,19939097.0,200000000,KT - EX,25 a 36 meses,Industria,Venture,Medellín,4,Si,No,882.0,3.0,1999,Si,Si,Si,Si,48,Internet,2.0,No,Si,16,No,1,0
31,506,678,PAID,3,10407317.0,110000000,KT - CO,Menos de 12 meses,Servicios,Venture,Medellín,4,No,No,902.0,6.0,2012,Si,No,No,No,32,FriendOrColleague,2.0,No,Si,10,Si,1,1
32,524,707,PAID_LATE,22,27087586.0,30000000,SP,25 a 36 meses,Industria,Venture,Itagüí,4,Si,No,892.0,4.0,2011,No,Si,No,No,35,CreditProfessionalContact,2.0,No,Si,8,No,2,1
33,547,121,PAID_LATE,20,38658707.0,350000000,KT - CO,Menos de 12 meses,Servicios,Scale Up,Medellín,4,Si,No,862.0,10.0,2012,Si,Si,No,No,39,CreditProfessionalContact,2.0,No,Si,35,Si,0,0
34,547,704,PAID_LATE,18,27559185.0,350000000,KT - CO,Menos de 12 meses,Servicios,Scale Up,Medellín,4,Si,No,862.0,10.0,2012,Si,Si,No,No,39,CreditProfessionalContact,2.0,No,Si,35,Si,0,0
35,548,705,PAID,0,38103713.0,630000000,KT - EX,Menos de 12 meses,Servicios,Scale Up,Bogotá D.C.,5,No,No,881.0,7.0,2013,Si,No,No,No,37,Other,4.0,No,Si,32,No,3,0
36,548,726,PAID,2,82577251.0,630000000,KT - EX,Menos de 12 meses,Servicios,Scale Up,Bogotá D.C.,5,No,No,881.0,7.0,2013,Si,No,No,No,37,Other,4.0,No,Si,32,No,3,0
37,548,1265,PAID_LATE,32,296718260.0,630000000,KT - EX,Menos de 12 meses,Servicios,Scale Up,Bogotá D.C.,5,No,No,881.0,7.0,2013,Si,No,No,No,37,Other,4.0,No,Si,32,No,3,0
38,549,245,PAID,0,15257019.0,170000000,KT - CO,13 a 24 meses,Servicios,Seed,Medellín,3,No,No,780.0,1.0,2016,No,No,No,No,31,CreditProfessionalContact,3.0,No,No,2,No,2,1
39,549,1376,PAID_LATE,16,15358471.0,170000000,KT - CO,13 a 24 meses,Servicios,Seed,Medellín,3,No,No,780.0,1.0,2016,No,No,No,No,31,CreditProfessionalContact,3.0,No,No,2,No,2,1
40,560,723,PAID_LATE,15,27801393.0,260000000,KT - EX,Menos de 12 meses,Industria,Venture,Bogotá D.C.,3,No,Si,898.0,16.0,2014,Si,No,Si,No,55,FriendOrColleague,4.0,No,No,8,Si,1,0
41,560,1059,PAID_LATE,16,11313722.0,260000000,KT - EX,Menos de 12 meses,Industria,Venture,Bogotá D.C.,3,No,Si,898.0,16.0,2014,Si,No,Si,No,55,FriendOrColleague,4.0,No,No,8,Si,1,0
42,560,1061,PAID_LATE,30,19386985.0,260000000,KT - EX,Menos de 12 meses,Industria,Venture,Bogotá D.C.,3,No,Si,898.0,16.0,2014,Si,No,Si,No,55,FriendOrColleague,4.0,No,No,8,Si,1,0
43,560,1435,PAID_LATE,27,15208314.0,260000000,KT - EX,Menos de 12 meses,Industria,Venture,Bogotá D.C.,3,No,Si,898.0,16.0,2014,Si,No,Si,No,55,FriendOrColleague,4.0,No,No,8,Si,1,0
44,574,107,LATE,257,25022334.0,300000000,KT - EX,13 a 24 meses,Servicios,Scale Up,Medellín,4,No,No,808.0,7.0,2014,No,No,No,No,25,Internet,2.0,No,Si,111,No,4,0
45,574,620,LATE,187,50078645.0,300000000,KT - EX,13 a 24 meses,Servicios,Scale Up,Medellín,4,No,No,808.0,7.0,2014,No,No,No,No,25,Internet,2.0,No,Si,111,No,4,0
46,575,609,PAID,0,61843053.0,274341316,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,6,Si,No,878.0,1.0,2015,Si,Si,Si,Si,41,Other,2.0,No,Si,4,No,1,1
47,575,668,PAID_LATE,21,46448764.0,274341316,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,6,Si,No,878.0,1.0,2015,Si,Si,Si,Si,41,Other,2.0,No,Si,4,No,1,1
48,575,1169,PAID,0,42150770.0,274341316,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,6,Si,No,878.0,1.0,2015,Si,Si,Si,Si,41,Other,2.0,No,Si,4,No,1,1
49,599,990,LATE,622,0.0,100000000,CR ,13 a 24 meses,Servicios,Seed,La Ceja,4,Si,No,939.0,0.0,2016,No,No,No,No,45,Internet,1.0,No,No,20,No,1,1
50,600,206,PAID_LATE,28,69918220.0,420000000,KT - CO,13 a 24 meses,Industria,Venture,Medellín,4,No,No,760.0,2.0,2015,No,No,No,Si,38,FriendOrColleague,3.0,No,Si,7,No,0,1
51,600,1100,LATE,8,38283469.0,420000000,KT - CO,13 a 24 meses,Industria,Venture,Medellín,4,No,No,760.0,2.0,2015,No,No,No,Si,38,FriendOrColleague,3.0,No,Si,7,No,0,1
52,600,1113,PAID_LATE,29,31486760.0,420000000,KT - CO,13 a 24 meses,Industria,Venture,Medellín,4,No,No,760.0,2.0,2015,No,No,No,Si,38,FriendOrColleague,3.0,No,Si,7,No,0,1
53,601,658,PAID,4,60209243.0,130000000,KT - CO,25 a 36 meses,Industria,Seed,Medellín,6,No,No,933.0,2.0,2016,No,Si,No,Si,31,FriendOrColleague,2.0,No,No,3,No,2,1
54,601,838,PAID,0,56907320.0,130000000,KT - CO,25 a 36 meses,Industria,Seed,Medellín,6,No,No,933.0,2.0,2016,No,Si,No,Si,31,FriendOrColleague,2.0,No,No,3,No,2,1
55,602,978,LATE,216,11729187.0,600000000,CR ,Más de 37 meses,Industria,Growth,La Estrella,4,No,No,659.0,20.0,2012,Si,Si,Si,Si,46,CreditProfessionalContact,5.0,No,Si,100,No,4,0
56,602,980,LATE,210,35188037.0,600000000,CR ,Más de 37 meses,Industria,Growth,La Estrella,4,No,No,659.0,20.0,2012,Si,Si,Si,Si,46,CreditProfessionalContact,5.0,No,Si,100,No,4,0
57,602,989,LATE,210,11729134.0,600000000,CR ,Más de 37 meses,Industria,Growth,La Estrella,4,No,No,659.0,20.0,2012,Si,Si,Si,Si,46,CreditProfessionalContact,5.0,No,Si,100,No,4,0
58,602,1003,LATE,210,11729319.0,600000000,CR ,Más de 37 meses,Industria,Growth,La Estrella,4,No,No,659.0,20.0,2012,Si,Si,Si,Si,46,CreditProfessionalContact,5.0,No,Si,100,No,4,0
59,602,1219,LATE,613,0.0,600000000,CR ,Más de 37 meses,Industria,Growth,La Estrella,4,No,No,659.0,20.0,2012,Si,Si,Si,Si,46,CreditProfessionalContact,5.0,No,Si,100,No,4,0
60,602,1220,LATE,613,0.0,600000000,CR ,Más de 37 meses,Industria,Growth,La Estrella,4,No,No,659.0,20.0,2012,Si,Si,Si,Si,46,CreditProfessionalContact,5.0,No,Si,100,No,4,0
61,602,1221,LATE,613,0.0,600000000,CR ,Más de 37 meses,Industria,Growth,La Estrella,4,No,No,659.0,20.0,2012,Si,Si,Si,Si,46,CreditProfessionalContact,5.0,No,Si,100,No,4,0
62,602,1222,LATE,613,0.0,600000000,CR ,Más de 37 meses,Industria,Growth,La Estrella,4,No,No,659.0,20.0,2012,Si,Si,Si,Si,46,CreditProfessionalContact,5.0,No,Si,100,No,4,0
63,603,667,PAID,0,27650252.0,375000000,KT - EX,Menos de 12 meses,Servicios,Seed,Medellín,5,No,No,933.0,2.0,2013,Si,No,No,Si,43,CreditProfessionalContact,2.0,Si,No,3,No,0,1
64,603,1060,PAID,0,27639888.0,375000000,KT - EX,Menos de 12 meses,Servicios,Seed,Medellín,5,No,No,933.0,2.0,2013,Si,No,No,Si,43,CreditProfessionalContact,2.0,Si,No,3,No,0,1
65,603,1414,PAID,1,22650436.0,375000000,KT - EX,Menos de 12 meses,Servicios,Seed,Medellín,5,No,No,933.0,2.0,2013,Si,No,No,Si,43,CreditProfessionalContact,2.0,Si,No,3,No,0,1
66,613,34,PAID,0,100204762.0,950000000,SP,Menos de 12 meses,Industria,Seed,Medellín,4,No,No,901.0,2.0,2000,Si,No,No,No,42,CreditProfessionalContact,1.0,No,No,35,No,0,0
67,613,64,PAID,0,68122928.0,950000000,SP,Menos de 12 meses,Industria,Seed,Medellín,4,No,No,901.0,2.0,2000,Si,No,No,No,42,CreditProfessionalContact,1.0,No,No,35,No,0,0
68,613,65,PAID,0,70212020.0,950000000,SP,Menos de 12 meses,Industria,Seed,Medellín,4,No,No,901.0,2.0,2000,Si,No,No,No,42,CreditProfessionalContact,1.0,No,No,35,No,0,0
69,646,32,PAID,0,62651300.0,320000000,KT - CO,Menos de 12 meses,Servicios,Scale Up,Medellín,4,No,No,937.0,0.0,1987,Si,No,No,Si,36,Other,3.0,No,Si,35,No,2,0
70,896,1232,PAID,6,17618312.0,110000000,KT - EX,13 a 24 meses,Servicios,Seed,Medellín,5,No,No,0.0,0.0,2017,No,Si,No,No,35,FriendOrColleague,2.0,No,No,4,No,0,1
71,909,612,PAID_LATE,35,257480344.0,300000000,SP,Más de 37 meses,Comercio,Venture,Medellín,6,No,No,929.0,5.0,2000,Si,Si,No,No,46,CreditProfessionalContact,5.0,Si,Si,7,No,1,0
72,910,988,PAID,0,32917657.0,380000000,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,5,No,Si,201.0,11.0,2014,Si,Si,Si,Si,29,FriendOrColleague,5.0,No,Si,13,No,1,0
73,910,1001,LATE,179,16908747.0,380000000,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,5,No,Si,201.0,11.0,2014,Si,Si,Si,Si,29,FriendOrColleague,5.0,No,Si,13,No,1,0
74,1021,261,PAID_LATE,73,23349938.0,136500000,CR ,Menos de 12 meses,Servicios,Venture,Bogotá D.C.,5,No,No,790.0,5.0,2012,Si,Si,Si,Si,30,Newspapers,1.0,No,Si,35,No,2,1
75,1021,706,PAID_LATE,81,17384531.0,136500000,CR ,Menos de 12 meses,Servicios,Venture,Bogotá D.C.,5,No,No,790.0,5.0,2012,Si,Si,Si,Si,30,Newspapers,1.0,No,Si,35,No,2,1
76,1022,840,PAID_LATE,53,16705143.0,120000000,KT - CO,Menos de 12 meses,Servicios,Seed,Medellín,5,No,No,561.0,4.0,2007,Si,No,No,No,44,CreditProfessionalContact,3.0,No,Si,13,No,4,1
77,1066,262,PAID,0,38279458.0,80000000,KT - CO,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,5,No,No,949.0,1.0,2014,Si,Si,Si,Si,27,Newspapers,3.0,No,No,14,No,0,1
78,1066,1439,PAID,3,14688134.0,80000000,KT - CO,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,5,No,No,949.0,1.0,2014,Si,Si,Si,Si,27,Newspapers,3.0,No,No,14,No,0,1
79,1067,712,PAID_LATE,16,38490732.0,380000000,KT - CO,13 a 24 meses,Servicios,Scale Up,Medellín,4,Si,No,904.0,15.0,2000,No,Si,Si,No,38,CreditProfessionalContact,2.0,No,No,32,Si,2,0
80,1067,1468,PAID_LATE,20,53310826.0,380000000,KT - CO,13 a 24 meses,Servicios,Scale Up,Medellín,4,Si,No,904.0,15.0,2000,No,Si,Si,No,38,CreditProfessionalContact,2.0,No,No,32,Si,2,0
81,1068,984,PAID_LATE,80,12581410.0,50000000,KT - CO,13 a 24 meses,Servicios,Seed,Bogotá D.C.,5,No,No,570.0,7.0,2011,Si,No,Si,Si,39,Internet,2.0,No,Si,5,No,1,1
82,1069,124,PAID,2,38418415.0,200000000,KT - EX,13 a 24 meses,Servicios,Venture,Medellín,6,Si,No,295.0,2.0,2007,Si,No,No,No,43,Newspapers,4.0,Si,Si,15,No,1,1
83,1070,677,PAID,7,30151607.0,230000000,KT - EX,13 a 24 meses,Servicios,Venture,Medellín,6,No,No,807.0,6.0,2013,Si,Si,No,No,43,FriendOrColleague,6.0,No,Si,20,No,1,0
84,1070,1143,PAID,1,9039250.0,230000000,KT - EX,13 a 24 meses,Servicios,Venture,Medellín,6,No,No,807.0,6.0,2013,Si,Si,No,No,43,FriendOrColleague,6.0,No,Si,20,No,1,0
85,1070,1505,PAID,4,29926839.0,230000000,KT - EX,13 a 24 meses,Servicios,Venture,Medellín,6,No,No,807.0,6.0,2013,Si,Si,No,No,43,FriendOrColleague,6.0,No,Si,20,No,1,0
86,1112,1298,PAID,8,9138489.0,30000000,KT - CO,13 a 24 meses,Servicios,Seed,Medellín,3,No,No,957.0,1.0,2017,Si,Si,No,No,29,Internet,2.0,No,No,6,Si,1,1
87,1146,1361,PAID,0,61373292.0,200000000,KT - CO,13 a 24 meses,Servicios,Venture,Neiva,4,No,Si,809.0,7.0,2016,Si,No,No,Si,33,FriendOrColleague,5.0,Si,Si,12,Si,6,0
88,1259,972,LATE,115,23311264.0,110000000,KT - EX,13 a 24 meses,Servicios,Seed,Bogotá D.C.,6,No,No,911.0,4.0,2011,Si,Si,Si,Si,31,Internet,2.0,No,Si,21,No,6,0
89,1259,1012,PAID_LATE,39,16070489.0,110000000,KT - EX,13 a 24 meses,Servicios,Seed,Bogotá D.C.,6,No,No,911.0,4.0,2011,Si,Si,Si,Si,31,Internet,2.0,No,Si,21,No,6,1
90,1281,1011,LATE,193,15660125.0,40000000,KT - CO,13 a 24 meses,Servicios,Seed,Medellín,3,No,No,876.0,4.0,2007,Si,No,Si,Si,63,FriendOrColleague,1.0,No,Si,14,Si,2,1
91,1282,599,PAID,4,16590701.0,30000000,CR ,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,4,No,No,967.0,2.0,2016,No,Si,Si,No,40,Internet,5.0,No,No,6,No,1,1
92,1314,639,PAID,5,242274953.0,1150000000,SP,13 a 24 meses,Industria,Scale Up,Bogotá D.C.,4,No,Si,933.0,21.0,2010,Si,No,Si,Si,33,Internet,4.0,Si,Si,150,Si,6,0
93,1314,648,PAID,8,91195322.0,1150000000,SP,13 a 24 meses,Industria,Scale Up,Bogotá D.C.,4,No,Si,933.0,21.0,2010,Si,No,Si,Si,33,Internet,4.0,Si,Si,150,Si,6,0
94,1315,1002,PAID,5,24592287.0,80000000,KT - EX,13 a 24 meses,Servicios,Seed,Bogotá D.C.,3,No,No,729.0,2.0,2015,Si,Si,Si,Si,38,Internet,4.0,No,Si,8,No,0,1
95,1338,635,PAID,1,186955232.0,330000000,KT - CO,Menos de 12 meses,Servicios,Growth,Bogotá D.C.,4,No,No,929.0,11.0,2004,Si,No,Si,Si,59,FriendOrColleague,3.0,No,Si,120,No,4,0
96,1339,264,LATE,313,13160472.0,50000000,SP,13 a 24 meses,Servicios,Seed,Medellín,6,No,No,861.0,3.0,2011,Si,No,No,Si,32,FriendOrColleague,2.0,No,Si,10,No,1,1
97,1340,652,PAID,1,36070718.0,290000000,SP,13 a 24 meses,Servicios,Venture,Bogotá D.C.,5,No,No,925.0,9.0,2009,Si,Si,Si,No,41,Internet,2.0,No,Si,40,No,4,0
98,1341,671,PAID_LATE,26,16707869.0,110000000,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,5,No,Si,920.0,1.0,2013,Si,No,Si,No,32,Internet,3.0,No,Si,8,No,2,1
99,1341,1243,PAID,1,16535793.0,110000000,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,5,No,Si,920.0,1.0,2013,Si,No,Si,No,32,Internet,3.0,No,Si,8,No,2,1
100,1342,640,PAID,10,12090536.0,90000000,KT - EX,13 a 24 meses,Servicios,Seed,Envigado,3,No,No,951.0,2.0,2015,No,Si,Si,No,31,FriendOrColleague,2.0,No,No,22,Si,2,1
101,1343,269,PAID,0,21655336.0,407000000,KT - CO,25 a 36 meses,Comercio,Venture,Bogotá D.C.,5,No,No,929.0,13.0,2008,No,Si,No,No,57,Internet,2.0,No,Si,18,No,1,0
102,1343,641,PAID,0,162125908.0,407000000,KT - CO,25 a 36 meses,Comercio,Venture,Bogotá D.C.,5,No,No,929.0,13.0,2008,No,Si,No,No,57,Internet,2.0,No,Si,18,No,1,0
103,1343,1321,PAID,0,10791618.0,407000000,KT - CO,25 a 36 meses,Comercio,Venture,Bogotá D.C.,5,No,No,929.0,13.0,2008,No,Si,No,No,57,Internet,2.0,No,Si,18,No,1,0
104,1372,697,LATE,210,19192558.0,230000000,KT - EX,13 a 24 meses,Industria,Venture,Medellín,4,No,Si,632.0,8.0,2014,No,No,Si,Si,34,Internet,1.0,Si,Si,35,No,2,0
105,1372,1070,LATE,222,20390108.0,230000000,KT - EX,13 a 24 meses,Industria,Venture,Medellín,4,No,Si,632.0,8.0,2014,No,No,Si,Si,34,Internet,1.0,Si,Si,35,No,2,0
106,1397,36,PAID,0,128196078.0,300000000,KT - CO,25 a 36 meses,Servicios,Venture,Medellín,6,Si,No,925.0,14.0,2013,Si,Si,Si,Si,38,Other,4.0,No,Si,50,No,1,0
107,1397,1311,LATE,470,0.0,300000000,KT - CO,25 a 36 meses,Servicios,Venture,Medellín,6,Si,No,925.0,14.0,2013,Si,Si,Si,Si,38,Other,4.0,No,Si,50,No,1,0
108,1399,601,PAID_LATE,64,24380864.0,120000000,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,5,No,No,955.0,2.0,2015,Si,Si,Si,Si,44,Internet,2.0,No,Si,26,Si,3,1
109,1399,1146,PAID_LATE,60,21977094.0,120000000,KT - EX,Menos de 12 meses,Servicios,Seed,Bogotá D.C.,5,No,No,955.0,2.0,2015,Si,Si,Si,Si,44,Internet,2.0,No,Si,26,Si,3,1
110,1400,576,LATE,147,15721765.0,30000000,SP,13 a 24 meses,Industria,Seed,Medellín,4,No,No,45.0,3.0,2010,Si,Si,No,Si,36,Other,4.0,No,Si,10,No,1,1
111,1403,11,PAID,6,54364691.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
112,1403,645,LATE,484,22756137.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
113,1403,646,LATE,92,38524047.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
114,1403,647,PAID_LATE,26,37713694.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
115,1403,1005,LATE,641,6525686.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
116,1403,1006,LATE,100,38558906.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
117,1403,1007,PAID_LATE,38,37736602.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
118,1403,1008,LATE,563,0.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
119,1403,1104,LATE,540,0.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
120,1403,1193,LATE,529,0.0,1030000000,KT - EX,Menos de 12 meses,Industria,Growth,La Estrella,3,No,Si,929.0,33.0,2011,Si,No,No,Si,47,Other,2.0,No,Si,15,No,1,0
121,1405,23,LATE,293,25483419.0,600000000,KT - EX,13 a 24 meses,Industria,Venture,Itagüí,5,No,No,651.0,14.0,2011,Si,Si,No,Si,53,Other,2.0,No,Si,10,No,2,0
122,1405,24,LATE,284,25409711.0,600000000,KT - EX,13 a 24 meses,Industria,Venture,Itagüí,5,No,No,651.0,14.0,2011,Si,Si,No,Si,53,Other,2.0,No,Si,10,No,2,0
123,1405,25,LATE,278,25360068.0,600000000,KT - EX,13 a 24 meses,Industria,Venture,Itagüí,5,No,No,651.0,14.0,2011,Si,Si,No,Si,53,Other,2.0,No,Si,10,No,2,0
124,1405,26,LATE,282,25404867.0,600000000,KT - EX,13 a 24 meses,Industria,Venture,Itagüí,5,No,No,651.0,14.0,2011,Si,Si,No,Si,53,Other,2.0,No,Si,10,No,2,0
